original_meal,cleaned_meal,cluster_id
فريت أوملات,فريت أوملات,46
موز,موز,15
سلاطة متنوعة.,سلاطة متنوعة,41
عجائن مختلفة ( شخشوخة ),عجائن مختلفة شخشوخة,3
كريمة تحلية أو ياغورت معطر,كريمة تحلية أو ياغورت معطر,14
هلاليات أو معجون مشمش و زبدة,هلاليات أو معجون مشمش و زبدة,30
كريمة تحلية أو ياغورت,كريمة تحلية أو ياغورت,14
ماء معدني 0.5 ل (,ماء معدني 0 5 ل,17
قراتان خضراوات و خضراوات أو كباب,قراتان خضراوات و خضراوات أو كباب,37
قلب اللوز أو بسبوبسة,قلب اللوز أو بسبوبسة,24
عجائن مختلفة (سباقيتي,عجائن مختلفة سباقيتي,13
لحم دجاج (,لحم دجاج,45
فلب اللوز أو بسبوسة,فلب اللوز أو بسبوسة,24
أو ياغورت معطر,أو ياغورت معطر,14
كريمة تحلية أو ياغورت معطر,كريمة تحلية أو ياغورت معطر,14
برتقال,برتقال,15
موز,موز,15
شربة فريك  .,شربة فريك,35
لحم دجاج,لحم دجاج,45
قلب اللوز أو بسبوسة,قلب اللوز أو بسبوسة,24
كريمة تحلية أو ياغورت معطر,كريمة تحلية أو ياغورت معطر,14
هلاليات أومعجون مشمش,هلاليات أومعجون مشمش,6
بيض  مسلوق,بيض مسلوق,11
عجائن مختلفة سباقيتي,عجائن مختلفة سباقيتي,13
كريمة التحلية,كريمة التحلية,7
بطاطا بيري أو فريت,بطاطا بيري أو فريت,12
لحم دجاج أو طن,لحم دجاج أو طن,45
حليب بالقهوة أو شكلاطة,حليب بالقهوة أو شكلاطة,8
عصير فواكه,عصير فواكه,16
برتقال,برتقال,15
كباب,كباب,28
ياغورت فوكه,ياغورت فوكه,9
حليب بالقهوة أو شكلاطة,حليب بالقهوة أو شكلاطة,8
عجائن غذائية ( لسان لعصفور).,عجائن غذائية لسان لعصفور,2
بسبوسة,بسبوسة,24
ماء معدني,ماء معدني,17
حليب بالقهوة أو شكلاطة .,حليب بالقهوة أو شكلاطة,8
عصير فواكهء,عصير فواكهء,16
كريمة تحلية,كريمة تحلية,7
مندرينة,مندرينة,20
عجائن مختلفة سباقيتي أو معكرونة,عجائن مختلفة سباقيتي أو معكرونة,13
موز,موز,15
ماء معدني 0.5 ل,ماء معدني 0 5 ل,17
.حليب بالقهوة أو شكلاطة,حليب بالقهوة أو شكلاطة,8
حليب باللقهوة أو شكلاطة,حليب باللقهوة أو شكلاطة,8
جبن علب قطع,جبن علب قطع,1
عجائن غذائية (عيش),عجائن غذائية عيش,3
عجائن غذائية تليتلي,عجائن غذائية تليتلي,29
حليب بالقهوة أو شكلاطة,حليب بالقهوة أو شكلاطة,8
خبز بالشكلطة,خبز بالشكلطة,34
برتقال أو ياغورت معطر,برتقال أو ياغورت معطر,14
ماء معدني 0.5 ل (),ماء معدني 0 5 ل,17
ياغورت فولكه,ياغورت فولكه,14
عجائن غذائية (لسان عصفور),عجائن غذائية لسان عصفور,3
قراتان خضراولت,قراتان خضراولت,37
عجائن مختلفة سباقيتي أو معكرونة,عجائن مختلفة سباقيتي أو معكرونة,13
عجائن غذائية عيش,عجائن غذائية عيش,3
عجائن مختلقة تليتلي,عجائن مختلقة تليتلي,29
ل0.5 ماء معدني,ل0 5 ماء معدني,17
حليب بالقهوةأو الشكلاطة,حليب بالقهوةأو الشكلاطة,8
حليب بالقهوة أو الشكلاطة,حليب بالقهوة أو الشكلاطة,8
خليب  بالقهوة أو شكلاطة,خليب بالقهوة أو شكلاطة,34
كريمة تخلية,كريمة تخلية,46
عجائن غذائية لسان العصفور,عجائن غذائية لسان العصفور,3
كربمة تحلية,كربمة تحلية,18
بطاطا بيري(بطاطا غبرة),بطاطا بيري بطاطا غبرة,12
عجائن مختلفة (سباقيتي أو معكرونة),عجائن مختلفة سباقيتي أو معكرونة,13
كباب (بطاطا-حمص-بيض),كباب بطاطا حمص بيض,19
لحم عدل,لحم عدل,33
حليب بالقهوة او شكلالطة,حليب بالقهوة او شكلالطة,8
حليب بالقهوة او شكلاطة,حليب بالقهوة او شكلاطة,8
مادلالن,مادلالن,20
حليب بالقهوة او الشكلاطة,حليب بالقهوة او الشكلاطة,8
حليب باللقهوة أو شكلاطة,حليب باللقهوة أو شكلاطة,8
حليب باللقهوةأو شكلاطة,حليب باللقهوةأو شكلاطة,8
حليب باللقهوةأو بالشكلاطة,حليب باللقهوةأو بالشكلاطة,8
عجائن مختلفة سباقيتي او معكورنة,عجائن مختلفة سباقيتي او معكورنة,13
عجائن غذائية(لسان العصفور),عجائن غذائية لسان العصفور,3
عجائن غدائية(عيش),عجائن غدائية عيش,3
عجائن مختلفة )تليتلي,عجائن مختلفة تليتلي,29
لحم د جاج,لحم د جاج,33
سلاطة متنوعة 150 غ,سلاطة متنوعة 150 غ,39
لسان العصفور عجائن غذائية,لسان العصفور عجائن غذائية,3
طبق زيتون اخضر,طبق زيتون اخضر,21
لحم عجل طازج,لحم عجل طازج,10
حليب بالقهوة أو الشكلاطة,حليب بالقهوة أو الشكلاطة,8
بطاطا بيري غبرة,بطاطا بيري غبرة,12
حليب بالقهوة او الشكلاطة,حليب بالقهوة او الشكلاطة,8
عجائن مختلفة سباقيتي أو معكرونة,عجائن مختلفة سباقيتي أو معكرونة,13
خبز بالقهوة أو الشكلاطة,خبز بالقهوة أو الشكلاطة,34
لحم العجل الطازج,لحم العجل الطازج,10
حليب بالقهوة أو الشكلاطة,حليب بالقهوة أو الشكلاطة,8
عجائن غذائية  عيش,عجائن غذائية عيش,3
شطيطحة حمص,شطيطحة حمص,49
ماء معني,ماء معني,17
عجائن مختلفة تليتلي,عجائن مختلفة تليتلي,29
عجائن  غذائية,عجائن غذائية,3
قهوة أو شكلاطة,قهوة أو شكلاطة,8
ماءمعدني 0.5ل,ماءمعدني 0 5ل,17
شربة فريك بلحم الخروف الخروف,شربة فريك بلحم الخروف الخروف,5
جلبانة قراتان,جلبانة قراتان,36
قهوة أو شكلاطة,قهوة أو شكلاطة,8
طاجين لحو,طاجين لحو,2
ل 0.5ماء معدني,ل 0 5ماء معدني,17
مثوم حمص,مثوم حمص,33
تفاح أو موز,تفاح أو موز,15
لحم الدجاج أو لحم العجل,لحم الدجاج أو لحم العجل,10
موز أو تفاح,موز أو تفاح,15
طاجين خلو,طاجين خلو,2
لحم دجاج  محمر,لحم دجاج محمر,45
قهوةأو شكلاطة,قهوةأو شكلاطة,8
لحم دجاج أو لحم العجل,لحم دجاج أو لحم العجل,10
عصيرفواكه,عصيرفواكه,16
تفاخ أو موز,تفاخ أو موز,15
عصير فولكه,عصير فولكه,16
ماء معدني0.5 لتر,ماء معدني0 5 لتر,17
قهوة أو شكلاتطة,قهوة أو شكلاتطة,8
تفاح أوموز,تفاح أوموز,15
قهوة او شوكولاطة,قهوة او شوكولاطة,8
شربة فريك لحم الخروف,شربة فريك لحم الخروف,5
بطاطا كوشة مقلية,بطاطا كوشة مقلية,19
قهوة او شكولاطة,قهوة او شكولاطة,8
حليب,حليب,25
حليب رايب,حليب رايب,25
حليب مبستر,حليب مبستر,25
لحم دجاج أو لحم عجل طازج,لحم دجاج أو لحم عجل طازج,10
موز أو تفاح,موز أو تفاح,15
لحم عجل 150غ,لحم عجل 150غ,10
مقلية بطاطا كوشة,مقلية بطاطا كوشة,19
بلحم خروف شربة فريك,بلحم خروف شربة فريك,5
حليب,حليب,25
بلحم خروف شربة فريك,بلحم خروف شربة فريك,5
زيتزن اخضر,زيتزن اخضر,21
موز او تفاح,موز او تفاح,15
جبن  قطع,جبن قطع,1
ل 0.5 ماء معدني,ل 0 5 ماء معدني,17
عجائن غذائية (لسان العصفور),عجائن غذائية لسان العصفور,3
عجائن غدائية (عيش),عجائن غدائية عيش,3
أو الشكلاطة حليب بالقهوة,أو الشكلاطة حليب بالقهوة,8
حليب بالقهوة أو  شكلاطة,حليب بالقهوة أو شكلاطة,8
عجائن  غذائية,عجائن غذائية,3
ل0.5 ماء معدني,ل0 5 ماء معدني,17
-عيش-عجائن غذائية,عيش عجائن غذائية,3
عجائن مختلفة -تليتلي,عجائن مختلفة تليتلي,29
هلاليات/ أو خبز بالشكولاطة,هلاليات أو خبز بالشكولاطة,34
قراتان متنوع,قراتان متنوع,22
مادلين نوعية  المخبزة,مادلين نوعية المخبزة,3
عجائن صناعية  تليتلي,عجائن صناعية تليتلي,29
هلاليات/خبز الشيكولاطة,هلاليات خبز الشيكولاطة,34
زبدة 10 غرام,زبدة 10 غرام,32
خبز محسن 250 غرام,خبز محسن 250 غرام,3
لحم العجل الطازج,لحم العجل الطازج,10
هلاليات/ خبز الشيكولاطة,هلاليات خبز الشيكولاطة,34
مادلان نوعية المخبزة,مادلان نوعية المخبزة,20
هلالليات / خبز الشيكولاطة,هلالليات خبز الشيكولاطة,34
زبدة 10 غرام,زبدة 10 غرام,32
تونة علب 65 غرام,تونة علب 65 غرام,23
جبن ذائب علب,جبن ذائب علب,1
هلاليات / خبز الشيكولاطة,هلاليات خبز الشيكولاطة,34
خبز محسن 250 غرام,خبز محسن 250 غرام,3
علبة تونة 65 غ,علبة تونة 65 غ,23
جبن ذائب علب,جبن ذائب علب,1
حلييب,حلييب,46
غراتان متنوعة,غراتان متنوعة,27
جبن 16 قطعة,جبن 16 قطعة,1
عجائن صناعية تليتلي,عجائن صناعية تليتلي,29
حليب 40غ,حليب 40غ,25
هلاليات أوخبز الشكولاطة,هلاليات أوخبز الشكولاطة,34
زبدة 10 غ,زبدة 10 غ,32
خبز محسن 250 غ,خبز محسن 250 غ,3
شربة فريك / شعيرية,شربة فريك شعيرية,35
زيتون بدون نواة,زيتون بدون نواة,21
فاكهة موسمية 120 غ,فاكهة موسمية 120 غ,43
حليب 40 غ,حليب 40 غ,25
زبدة 10 غ,زبدة 10 غ,32
تونة علب 65 غ,تونة علب 65 غ,23
قهوة 5 غ,قهوة 5 غ,8
هلاليات / خبز الشكولاطة,هلاليات خبز الشكولاطة,34
دجاج روطي,دجاج روطي,45
مادلين نوعية المخبزة,مادلين نوعية المخبزة,3
تونة علب 65 غ,تونة علب 65 غ,23
خبز محسن 250 غ,خبز محسن 250 غ,3
قراتان متنوع,قراتان متنوع,22
جبن 16 قطعة,جبن 16 قطعة,1
مادلين نوعية المخبزة,مادلين نوعية المخبزة,3
شربة فريك / شعيرية,شربة فريك شعيرية,35
هلاليات أو خبز الشكولاطة,هلاليات أو خبز الشكولاطة,34
خبز 250 غ,خبز 250 غ,3
شربة فريك /شعيرية,شربة فريك شعيرية,35
فاكهة موسمية  120 غ,فاكهة موسمية 120 غ,43
دجاج روطي,دجاج روطي,45
حلويات جافة 10 غ,حلويات جافة 10 غ,7
يبض مسلوق,يبض مسلوق,11
فاكهة متنوعة 120 غ,فاكهة متنوعة 120 غ,43
هلاليات أو خبز الشكولاطة,هلاليات أو خبز الشكولاطة,34
حيلب 40 غ,حيلب 40 غ,46
فاكهة موسمية 120غ,فاكهة موسمية 120غ,43
جبن 120 غ,جبن 120 غ,1
سلاطة متنوعة 200 غ,سلاطة متنوعة 200 غ,41
مشرؤب غازي,مشرؤب غازي,47
شربة فريك/ شعيرية,شربة فريك شعيرية,35
زبدة  10 غ,زبدة 10 غ,32
حليب 40 غ,حليب 40 غ,25
كاشير 150 غ,كاشير 150 غ,39
خبز250 غ,خبز250 غ,3
شعيرية/شربة فريك,شعيرية شربة فريك,35
فاكهة موسمية  120غ,فاكهة موسمية 120غ,43
جبن ذائب,جبن ذائب,1
جبن 16  قطعة,جبن 16 قطعة,1
شربة فريك /  شعيرية,شربة فريك شعيرية,35
خبز 250 غرام,خبز 250 غرام,3
تونة 65 غرام,تونة 65 غرام,23
عصير علب 75سل,عصير علب 75سل,47
مدلين المخبزة,مدلين المخبزة,3
لحمر العجل,لحمر العجل,10
سلاطة متنتوعة,سلاطة متنتوعة,41
عصير علب 75 سل,عصير علب 75 سل,47
خبو 250 غرام,خبو 250 غرام,39
هلاليات أو خبز الشيكولاطة,هلاليات أو خبز الشيكولاطة,34
مشروب غازي 75 سل,مشروب غازي 75 سل,47
مربى 10 غرام,مربى 10 غرام,32
زيتون أخضر بدون نواة,زيتون أخضر بدون نواة,21
مادلان المخبزة,مادلان المخبزة,20
خبز250غرام,خبز250غرام,3
هلاليات /خبز الشيكولاطة,هلاليات خبز الشيكولاطة,34
مشروب غاوي 75 سل,مشروب غاوي 75 سل,8
خبز 250 غرام,خبز 250 غرام,3
خبز 250غرام,خبز 250غرام,3
عجائن صناعية (تليتلي),عجائن صناعية تليتلي,29
عصير علب 65سل,عصير علب 65سل,47
قشدة 65 غرام,قشدة 65 غرام,7
مادلين المخبزة,مادلين المخبزة,3
مادلين  المخبزة,مادلين المخبزة,3
خبز محسن 250غ,خبز محسن 250غ,3
خبز محسن250 غ,خبز محسن250 غ,3
طونة علب 65 غ,طونة علب 65 غ,2
بطابطا كوشة,بطابطا كوشة,12
خبز محسن 250,خبز محسن 250,3
ياوورت فواكه,ياوورت فواكه,9
طونة  علب 65 غ,طونة علب 65 غ,2
ياوورت قارورة,ياوورت قارورة,9
طونة علب  65 غ,طونة علب 65 غ,2
خبز الشكولاطة,خبز الشكولاطة,34
الخبز 250 غرام,الخبز 250 غرام,3
خبز الشيكولاطة,خبز الشيكولاطة,34
مربى 10 غ,مربى 10 غ,32
الخبز 250 غ,الخبز 250 غ,3
شربة فريك/شعيرية,شربة فريك شعيرية,35
ياغورت فواكه 65 غ,ياغورت فواكه 65 غ,14
حلويات جافة / مادلين,حلويات جافة مادلين,7
حليب 40غ,حليب 40غ,25
حلويات جافة أو مادلين,حلويات جافة أو مادلين,7
خبز250غ,خبز250غ,3
طونة علب 65غ,طونة علب 65غ,2
خبز 250غ,خبز 250غ,3
حليب 40غ,حليب 40غ,25
هلاليات /خبز الشوكولاطة,هلاليات خبز الشوكولاطة,34
زبدة علب 20غ,زبدة علب 20غ,32
مربى علب 10غ,مربى علب 10غ,32
شربة,شربة,35
حليب40غ,حليب40غ,25
هلاليات /خبز الشوكولاطة,هلاليات خبز الشوكولاطة,34
زبدة علب 20غ,زبدة علب 20غ,32
مربى علب 10غ,مربى علب 10غ,32
خبز 250غ,خبز 250غ,3
طونة علب 65غ,طونة علب 65غ,2
لحم الدجاج,لحم الدجاج,45
هلاليات/خبزالشكولاطة,هلاليات خبزالشكولاطة,34
زبدة علب 20غ,زبدة علب 20غ,32
هلاليات /خبز الشكولاطة,هلاليات خبز الشكولاطة,34
ياوورت فواكه,ياوورت فواكه,9
زبدة 10غ,زبدة 10غ,32
مربى 10غ,مربى 10غ,32
خبز250غ,خبز250غ,3
حليب40غ,حليب40غ,25
هلاليات أو خبز الشوكولاطة,هلاليات أو خبز الشوكولاطة,34
زبدة 10غ,زبدة 10غ,32
مربى10غ,مربى10غ,32
سمك طازج,سمك طازج,38
عصير علب,عصير علب,47
قشدة 100غ,قشدة 100غ,7
حلويات جافة/ مادلين,حلويات جافة مادلين,7
حلويات جافة / مادلين,حلويات جافة مادلين,7
طونة علب  65غ,طونة علب 65غ,2
ياوورت قارورة,ياوورت قارورة,9
قهرة,قهرة,22
حساء/ شربةفريك / شربة خضار / حريرة/ شربة شعيرية,حساء شربةفريك شربة خضار حريرة شربة شعيرية,48
(عجائن (مقرون /سباقيتي,عجائن مقرون سباقيتي,13
حبز 250 غرام,حبز 250 غرام,46
شربة فر يك/ شعيرية,شربة فر يك شعيرية,35
بطاطا مهروسة (بيري ),بطاطا مهروسة بيري,12
حساء/ شربة فريك / شربة خضار /حريرة /شربة شعيرية,حساء شربة فريك شربة خضار حريرة شربة شعيرية,35
ياورت قارورة,ياورت قارورة,9
عجائن ( مقرون ) / سباقيتي,عجائن مقرون سباقيتي,13
خبز 250 غ,خبز 250 غ,3
مشروب غازي  75 سل,مشروب غازي 75 سل,47
هلاليات / خبز شكولاطة,هلاليات خبز شكولاطة,34
مشروب غازي 75 سل,مشروب غازي 75 سل,47
حلويات جافة /مادلين,حلويات جافة مادلين,7
جبن علب ذائب,جبن علب ذائب,1
حساء / شربة فريك / شربة خضار / حريرة / شربة شعيرية,حساء شربة فريك شربة خضار حريرة شربة شعيرية,35
لبن / حليب,لبن حليب,25
زيتون كاسي,زيتون كاسي,21
المسفوف ( كسكس + زبيب ),المسفوف كسكس زبيب,42
حليب علب 0.5 لتر,حليب علب 0 5 لتر,25
خبز محسن 2150 غرام,خبز محسن 2150 غرام,3
لبن / حليب علب 0.5 لتر,لبن حليب علب 0 5 لتر,25
ماء معدني 0.33 لتر,ماء معدني 0 33 لتر,17
حليب 0.5 لتر,حليب 0 5 لتر,25
خبز محسن 250غرام,خبز محسن 250غرام,3
لبن / حليب 0.5 لتر,لبن حليب 0 5 لتر,25
صبع العروس,صبع العروس,22
عصير الفواكه علب,عصير الفواكه علب,16
زيتون كاسي,زيتون كاسي,21
طاجين زيتون أخضر,طاجين زيتون أخضر,2
مشروب عازي,مشروب عازي,47
حليب/ لبن علب 0.5 لتر,حليب لبن علب 0 5 لتر,25
المسفوف,المسفوف,42
خبز الشيكلاطة,خبز الشيكلاطة,34
رولي فريت,رولي فريت,30
أرز مع صلصة خضر,أرز مع صلصة خضر,44
صباع لعروس,صباع لعروس,22
ماء معدني 0.33 ل,ماء معدني 0 33 ل,17
قراتان خضراوات,قراتان خضراوات,37
ماء معدني قارورة 0.33 لتر,ماء معدني قارورة 0 33 لتر,17
حليب علب 0.5 لتر,حليب علب 0 5 لتر,25
لبن أو حليب 1/5 لتر,لبن أو حليب 1 5 لتر,25
طاجين خلو,طاجين خلو,2
حليب علب 1/2 لتر,حليب علب 1 2 لتر,25
لبن / حليب 1/5 لتر,لبن حليب 1 5 لتر,25
لبن / حليب 1/2 لتر,لبن حليب 1 2 لتر,25
حليب 1/2 لتر,حليب 1 2 لتر,25
رولي بالفريت,رولي بالفريت,30
لحم العجل الطازج مفور,لحم العجل الطازج مفور,10
زيتون كاسي,زيتون كاسي,21
قراتان خضراوات,قراتان خضراوات,37
قارورة ماء معدني 0.33 لتر,قارورة ماء معدني 0 33 لتر,17
لبن / حليب علب 1/5 لتر,لبن حليب علب 1 5 لتر,25
ماء معدني قارورة 0.33 ل,ماء معدني قارورة 0 33 ل,17
حليب علب 1/2 لتر,حليب علب 1 2 لتر,25
لبن / حليب 1/5 لتر,لبن حليب 1 5 لتر,25
هلاليات/ خبز الشكولاطة,هلاليات خبز الشكولاطة,34
مربى + زبدة 10 غرام,مربى زبدة 10 غرام,32
لحم الدجاج الطازج,لحم الدجاج الطازج,45
هبلاليات / خبز الشيكولاطة,هبلاليات خبز الشيكولاطة,34
سمك الطازج,سمك الطازج,38
لحم الدجاج الطازج,لحم الدجاج الطازج,45
طونة علب 65 غرام,طونة علب 65 غرام,2
حلويات جافة / مادلان,حلويات جافة مادلان,7
بحم العجل الطازج,بحم العجل الطازج,10
حلويات جافة/مادلان,حلويات جافة مادلان,7
عجائن صناعة,عجائن صناعة,3
خبز  250 غ,خبز 250 غ,3
مربى + زبدة,مربى زبدة,32
لحم الدجاج  الطازج,لحم الدجاج الطازج,45
هلاليات / خبز  الشكولاطة,هلاليات خبز الشكولاطة,34
زبدة  + مربى 10 غ,زبدة مربى 10 غ,32
حليب40 غ,حليب40 غ,25
زبدة + مربى 10 غ,زبدة مربى 10 غ,32
سمك الطازج,سمك الطازج,38
بطاطابيري,بطاطابيري,12
لحم الدجاج الطازج,لحم الدجاج الطازج,45
مربى + زبدة 10,مربى زبدة 10,32
مربى + زبدة 10 غ,مربى زبدة 10 غ,32
خبز 250 عرام,خبز 250 عرام,3
شرية,شرية,6
زبدة علب,زبدة علب,32
مربى علب,مربى علب,32
مربى علب,مربى علب,32
زبدة علب,زبدة علب,32
مربى  علب,مربى علب,32
أرز,أرز,44
طونة علب,طونة علب,2
زبدة 20 غرام,زبدة 20 غرام,32
خبز الشيكولاطة/ هلاليات,خبز الشيكولاطة هلاليات,34
مربى 10 غرم,مربى 10 غرم,32
حلويات جافة/ مادلان,حلويات جافة مادلان,7
تريذة,تريذة,22
مربى 10 عرام,مربى 10 عرام,32
السمك الطازج,السمك الطازج,38
حبز 250 غرام,حبز 250 غرام,46
مربى 20 غرام,مربى 20 غرام,32
ماء قارورة 33 سل,ماء قارورة 33 سل,17
ماء معدني قارورة 33 سل,ماء معدني قارورة 33 سل,17
خلويات جافة / مادلان,خلويات جافة مادلان,20
ماء معدني 33 سل,ماء معدني 33 سل,17
عحائن صناعية,عحائن صناعية,46
هلاليات / خبزالشكولاطة,هلاليات خبزالشكولاطة,34
زبدة  علب,زبدة علب,32
ياوورت  قارورة,ياوورت قارورة,9
هلاليات /خبز الشكولاطة,هلاليات خبز الشكولاطة,34
ياوورت الفواكه,ياوورت الفواكه,9
حليب 250 غ,حليب 250 غ,25
ماء معدني قارورة   33 سل,ماء معدني قارورة 33 سل,17
قارورة ماء 33 سل,قارورة ماء 33 سل,47
جبن ذائب  علب,جبن ذائب علب,1
قارورة ماء 33 سل,قارورة ماء 33 سل,47
هلاليات  / خبز الشكولاطة,هلاليات خبز الشكولاطة,34
سلاطة متننوعة,سلاطة متننوعة,41
هلاليات / خبز الشكولاطة,هلاليات خبز الشكولاطة,34
حلويات جافة/مادلين,حلويات جافة مادلين,7
طون علب,طون علب,2
حلويات جافة  مادلين,حلويات جافة مادلين,7
ماء معدني قارور 0.5ل,ماء معدني قارور 0 5ل,17
لحم العجل مفروم,لحم العجل مفروم,10
مادلين / حلويات جافة,مادلين حلويات جافة,7
عصير  علب,عصير علب,47
قشدة تحلية علب,قشدة تحلية علب,7
قارورة ماء معدني 0.5 ل,قارورة ماء معدني 0 5 ل,17
حلويات جافة / مادلين,حلويات جافة مادلين,7
عصير علب 65 غ,عصير علب 65 غ,47
عصير علب 33سل,عصير علب 33سل,47
مربى 05 غرام,مربى 05 غرام,32
ماء معدني  0.5لتر,ماء معدني 0 5لتر,17
ماء معدني 0.5 لتر,ماء معدني 0 5 لتر,17
ماء معدني 0.5  لتر,ماء معدني 0 5 لتر,17
تونة علب 65غرام,تونة علب 65غرام,23
تفاخ,تفاخ,15
ماء معدني 0.5 لنر,ماء معدني 0 5 لنر,17
لحم الدجاح,لحم الدجاح,10
جلويات جافة / مادلين,جلويات جافة مادلين,7
حليب  40 غ,حليب 40 غ,25
مربى علب  10 غ,مربى علب 10 غ,32
زبدة علب 10 غ,زبدة علب 10 غ,32
مربى علب 10 غ,مربى علب 10 غ,32
زبد علب 10 غ,زبد علب 10 غ,32
كأس حليب  40 غ,كأس حليب 40 غ,25
طونة علب 65 غ,طونة علب 65 غ,2
كأس حليب 40 غ,كأس حليب 40 غ,25
زيتون أخضر,زيتون أخضر,21
خبز الشكولاطة / هلاليات,خبز الشكولاطة هلاليات,34
حلويات جافة/ مادلين,حلويات جافة مادلين,7
بطابطا فريت,بطابطا فريت,12
زبدة علب 10 غ,زبدة علب 10 غ,32
زبدة علب10 غ,زبدة علب10 غ,32
زبدة علب  10 غ,زبدة علب 10 غ,32
ترييدة,ترييدة,20
ياغورت الفوكه,ياغورت الفوكه,14
برتقال 01,برتقال 01,15
"ماء معدني ل0,5",ماء معدني ل0 5,17
خبز/هلاليات,خبز هلاليات,30
40 حليب غ,40 حليب غ,25
250 خبز محسن غ,250 خبز محسن غ,3
تليتلي,تليتلي,29
40 حليب غ,40 حليب غ,25
خبز 250,خبز 250,3
10زبدة علب غ,10زبدة علب غ,32
طون علب 65 غ,طون علب 65 غ,2
0.5 ماء معدني ل,0 5 ماء معدني ل,17
250 خبز غ,250 خبز غ,3
100  تفاح غ,100 تفاح غ,15
ماء معدني  0.5 ل,ماء معدني 0 5 ل,17
هلاليات / خبز شكولاطة,هلاليات خبز شكولاطة,34
250 خبز غ,250 خبز غ,3
برتقال 100 غ,برتقال 100 غ,15
هلاليات /خبز شوكولاطة,هلاليات خبز شوكولاطة,34
تونة علب  65غ,تونة علب 65غ,23
عصير  علب,عصير علب,47
زيتون اخضر,زيتون اخضر,21
ياغوورت فواكه,ياغوورت فواكه,9
هلاليات/ خبز شكولاطة,هلاليات خبز شكولاطة,34
ياغوورت معطر,ياغوورت معطر,9
تونة علب 65غ,تونة علب 65غ,23
حلويات  جافة  /مادلين,حلويات جافة مادلين,7
غ10 مربى,غ10 مربى,32
هلاليات/خبز شوكلاطة,هلاليات خبز شوكلاطة,34
خيز محسن 250 غ,خيز محسن 250 غ,39
معكرنة,معكرنة,40
سلاطة  متنوعة,سلاطة متنوعة,41
يا غوورت فواكه,يا غوورت فواكه,9
خبز محسن  250 غ,خبز محسن 250 غ,3
لحم دجاج طازج,لحم دجاج طازج,45
هلاليات /خبز شكولاطة,هلاليات خبز شكولاطة,34
10 زبدة غ,10 زبدة غ,32
هلاليات / خبز الشوكولاطة,هلاليات خبز الشوكولاطة,34
خبز  محسن  250 غ,خبز محسن 250 غ,3
خبز محسن 250غ,خبز محسن 250غ,3
خبز محسن 205 غ,خبز محسن 205 غ,3
ماء معدني 0.5  ل,ماء معدني 0 5 ل,17
مربى  10 غ,مربى 10 غ,32
مربى علب10 غ,مربى علب10 غ,32
خبز محسن 250 غ,خبز محسن 250 غ,3
تليتلى,تليتلى,29
زيتون أخضر بدون,زيتون أخضر بدون,21
مرب علب 10 غ,مرب علب 10 غ,32
طاجين خضروات,طاجين خضروات,2
خبز محسن250  غ,خبز محسن250 غ,3
جبن ذائب,جبن ذائب,1
هلاليات/ خبز شكولاطة,هلاليات خبز شكولاطة,34
(عجائن صناعية (معكرونة,عجائن صناعية معكرونة,3
ماء  معدني طبيعي  0.5 ل,ماء معدني طبيعي 0 5 ل,17
هلاليات /خبز شكولاطة,هلاليات خبز شكولاطة,34
مربى 10 غ,مربى 10 غ,32
يا غورت معطر,يا غورت معطر,9
(عجائن صناعية  (سباقيتي,عجائن صناعية سباقيتي,13
طاجين خضروات,طاجين خضروات,2
خبز محسن  250 غ,خبز محسن 250 غ,3
حليب 40 ل,حليب 40 ل,25
خبز محسن  250 غ,خبز محسن 250 غ,3
(عجائن صناعية (سباقيتي,عجائن صناعية سباقيتي,13
زبدة  10غ,زبدة 10غ,32
عجائن صناعية (معكرونة),عجائن صناعية معكرونة,3
ثريدة,ثريدة,6
قشدة  حلية,قشدة حلية,7
طون علب  65 غ,طون علب 65 غ,2
مندرينة,مندرينة,20
حليب  40 غ,حليب 40 غ,25
عجائن صناعية  (سباقيتي),عجائن صناعية سباقيتي,13
مربى  10غ,مربى 10غ,32
خبز محسن  250غ,خبز محسن 250غ,3
كسكسي,كسكسي,24
عصير العلب,عصير العلب,47
قشدة  تحلية,قشدة تحلية,7
عجئن صناعية (سباقتي),عجئن صناعية سباقتي,13
طون 65 غ,طون 65 غ,2
ماء معدني  0.5ل,ماء معدني 0 5ل,17
خيز الشكولاطة,خيز الشكولاطة,34
عجائن صناعية (سباقيتي),عجائن صناعية سباقيتي,13
ياغورت فواكه,ياغورت فواكه,14
(معكرونة)عجائن صناعية,معكرونة عجائن صناعية,3
ماء 0.5ل,ماء 0 5ل,17
زيدة 10 غ,زيدة 10 غ,32
غ 40 حليب,غ 40 حليب,25
باغوورت معطر,باغوورت معطر,9
(عجائن صناعية (سباقيتي,عجائن صناعية سباقيتي,13
خبز محسن 250غ,خبز محسن 250غ,3
(سباقيتي)عجائن  صناعية,سباقيتي عجائن صناعية,13
باغوورت فواكه,باغوورت فواكه,9
جبن قطع,جبن قطع,1
بيض سلوق,بيض سلوق,11
سلاطة متوعة,سلاطة متوعة,41
قشدة محلات,قشدة محلات,7
المسفوف(كسكس.سكر.زبيب),المسفوف كسكس سكر زبيب,42
خبز محسن   250 غ,خبز محسن 250 غ,3
ياغوورت قارورة,ياغوورت قارورة,9
صباع العروس,صباع العروس,22
حليب علب,حليب علب,25
